"Page URL","Category","Issue Type","Severity","Status","Element Selector","Element Context","Description","Recommendation","Technical Details"
"https://www.prowood.com/","Advisory","Structure Recommendation","low","FAIL","h4.nav-list-heading","Consider adding intermediate heading levels between H2 and H4 for better document structure","Consider adding intermediate heading levels between H2 and H4 for better document structure","While not required by WCAG, a logical heading sequence improves navigation for screen reader users","HTML Structure"
"https://www.prowood.com/","1.4.3 Contrast (Minimum)","Insufficient Contrast","critical","FAIL","section.build-mode-bg > div:nth-of-type(2)","Text: ""NOW IN SELECT MARKETSStable, straight, and ready to work.TrueFrame Joist is the no-nonsense choice f"" | Colors: rgb(133, 164, 144) on rgb(237, 240, 239) | Font: 16 400","Contrast ratio: 2.37:1 (required: 4.5:1)","Improve color contrast to meet WCAG AA standards","Contrast: 2.37:1 (required: 4.5:1)"
"https://www.prowood.com/","1.4.3 Contrast (Minimum)","Insufficient Contrast","critical","FAIL","div.container:nth-of-type(1)","Text: ""NOW IN SELECT MARKETSStable, straight, and ready to work.TrueFrame Joist is the no-nonsense choice f"" | Colors: rgb(255, 255, 255) on rgb(237, 240, 239) | Font: 16 400","Contrast ratio: 1.15:1 (required: 4.5:1)","Improve color contrast to meet WCAG AA standards","Contrast: 1.15:1 (required: 4.5:1)"
"https://www.prowood.com/","1.4.3 Contrast (Minimum)","Insufficient Contrast","critical","FAIL","div.badge-wrapper.u-mb-md","Text: ""NOW IN SELECT MARKETS"" | Colors: rgb(133, 164, 144) on rgb(39, 69, 61) | Font: 16 400","Contrast ratio: 3.85:1 (required: 4.5:1)","Improve color contrast to meet WCAG AA standards","Contrast: 3.85:1 (required: 4.5:1)"
"https://www.prowood.com/","1.4.3 Contrast (Minimum)","Insufficient Contrast","critical","FAIL","div.container:nth-of-type(1)","Text: ""Where do I find ProWood products?ProWood products can be purchased through independent lumberyards a"" | Colors: rgb(133, 164, 144) on rgb(255, 255, 255) | Font: 16 400","Contrast ratio: 2.72:1 (required: 4.5:1)","Improve color contrast to meet WCAG AA standards","Contrast: 2.72:1 (required: 4.5:1)"
"https://www.prowood.com/","Manual Review","Text Over Image Without Overlay","manual-review","REVIEW","div.card.cc-section-split-card","Text: ""NOW IN SELECT MARKETSStable, straight, and ready to work.TrueFrame Joist is the no-nonsense choice for pros who demand p"" | Background image on: div","Text appears over an image without a sufficient dark overlay. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Text Over Image Without Overlay","manual-review","REVIEW","div.badge-wrapper.u-mb-md","Text: ""NOW IN SELECT MARKETS"" | Background image on: div","Text appears over an image without a sufficient dark overlay. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Text Over Image Without Overlay","manual-review","REVIEW","h2.heading-component.h3","Text: ""Stable, straight, and ready to work."" | Background image on: div","Text appears over an image without a sufficient dark overlay. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Text Over Image Without Overlay","manual-review","REVIEW","div.u-mb-xs","Text: ""TrueFrame Joist is the no-nonsense choice for pros who demand precision."" | Background image on: div","Text appears over an image without a sufficient dark overlay. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
"https://www.prowood.com/","Manual Review","Text Over Image Without Overlay","manual-review","REVIEW","div.icon-list_wrapper.w-variant-3fb12a05-3bb4-1d54-11f6-c50bfbb04dfd","Text: ""Saves timeReduces wasteDelivers better end results"" | Background image on: div","Text appears over an image without a sufficient dark overlay. Manual review recommended.","Add a dark semi-transparent overlay or ensure contrast meets WCAG AA over the image.","Manual review required"
